"name","spm_support"
"HaishinKit",TRUE
"FitnessUnits",TRUE
"AnyDate",TRUE
"Response",TRUE
"SwiftyContacts",TRUE
"Differentiator",TRUE
"DefaultsKit",TRUE
"Parsel",TRUE
"SwiftQueue",TRUE
"Cassowary",TRUE
"Standards",TRUE
"RoutableIOS",TRUE
"AlamofireLogging",TRUE
"BluetoothMessageProtocol",TRUE
"NumericAnnex",TRUE
"SwiftyKeyboardObserver",TRUE
"DependencyInjectorObjectMapper",TRUE
"PhoneVerificationController",TRUE
"ViewConfigurator",TRUE
"PredictionBuilder",TRUE
"Queuer",TRUE
"ExtOptional",TRUE
"Notes",TRUE
"KJHUIKit",TRUE
"QnABotMaker",TRUE
"Shader",TRUE
"ErrorHandler",TRUE
"FilterKit",TRUE
"LCARSDisplayKit",TRUE
"ResultPromises",TRUE
"MediaBrowser",TRUE
"SwiftyLocalizable",TRUE
"SwiftyLocalizer",TRUE
"SectionReactor",TRUE
"Swifty",TRUE
"IoTTicketSwiftAPI",TRUE
"UIDefaultFont",TRUE
"CountryKit",TRUE
"Cancellation",TRUE
"Lumina",TRUE
"EastAsianWidth",TRUE
"RxJSON",TRUE
"Swift4HTTP",TRUE
"StartAppsKitAnimations",TRUE
"LXExtension",TRUE
"Kuery",TRUE
"LXSwiftExtension",TRUE
"Stated",TRUE
"PGNParser",TRUE
"ParserCombinator",TRUE
"TMLPersistentContainer",TRUE
"CodableAlamofire",TRUE
"InfoKit",TRUE
"LazyArray",TRUE
"TimeIntervals",TRUE
"TvOSCustomizableTableViewCell",TRUE
"RxCodable",TRUE
"TvOSPinKeyboard",TRUE
"OpenLocationCodeFramework",TRUE
"LifetimeTracker",TRUE
"SwiftInstagram",TRUE
"SwiftySweetness",TRUE
"ReactantUI",TRUE
"ReactantLiveUI",TRUE
"Pegasus",TRUE
"GCCountryPicker",TRUE
"xcproj",TRUE
"KayakoMessenger",TRUE
"JSONDecoder-Keypath",TRUE
"FlowTables",TRUE
"SwipeSelectingCollectionView",TRUE
"CryptoCurrencyKit",TRUE
"Moya-Decodable",TRUE
"KlarnaCheckoutSDK",TRUE
"SwiftMath",TRUE
"PadTests",TRUE
"Differ",TRUE
"Diffitic",TRUE
"StatusBarOverlay",TRUE
"MoRegex",TRUE
"Confetti",TRUE
"DLSuggestionsTextField",TRUE
"SwiftFFDB",TRUE
"Nakama",TRUE
"Promis",TRUE
"LoadableNib",TRUE
"ExtendedCoreGraphics",TRUE
"TweetNacl",TRUE
"Conduit",TRUE
"LocalizationToolkit",TRUE
"Pack",TRUE
"LibHoney",TRUE
"SimplePath",TRUE
"Yalta",TRUE
"BMLTiOSLib",TRUE
"Weekday.swift",TRUE
"RxCoreLocation",TRUE
"QuickSwiftCheck",TRUE
"JJFloatingActionButton",TRUE
"Windless",TRUE
"TransitionableTab",TRUE
"DLInterval",TRUE
"DataModelKit",TRUE
"Leash",TRUE
"Changeable",TRUE
"Pooling",TRUE
"JSONDecoder",TRUE
"EllipticCurveKeyPair",TRUE
"Sprinter",TRUE
"SwiftRegex4",TRUE
"Ciao",TRUE
"LocalizableUI",TRUE
"AEImage",TRUE
"DiscreteMathematics",TRUE
"SwiftyHYGDB",TRUE
"RollView",TRUE
"AxisSwift",TRUE
"NaiveDate",TRUE
"Fritz",TRUE
"CodableCache",TRUE
"CodableKeychain",TRUE
"Navigation",TRUE
"URLQueryItemEncoder",TRUE
"UnsplashFramework",TRUE
"NyrisSDK",TRUE
"RHBKit",TRUE
"CollectionViewSlantedLayout",TRUE
"SQLeleCoder",TRUE
"MultiPeer",TRUE
"GroupWork",TRUE
