"name","spm_support"
"RxDataSources",TRUE
"SQLite.swift",TRUE
"NumPad",TRUE
"Neeman",TRUE
"JSONRequest",TRUE
"Pelias",TRUE
"Warp",TRUE
"Prompter",TRUE
"Relax",TRUE
"AudioPlayerSwift",TRUE
"Forrest",TRUE
"Reusable",TRUE
"IncrementableLabel",TRUE
"EVContactsPicker",TRUE
"ReSwift",TRUE
"Changeset",TRUE
"SabBar",TRUE
"Roman",TRUE
"CrossroadRegex",TRUE
"HTMLKit",TRUE
"SwiftTracer-Core",TRUE
"ARDeepLinkButton",TRUE
"RAMReel",TRUE
"APESuperHUD",TRUE
"TRON",TRUE
"Freddy",TRUE
"YetAnotherResult",TRUE
"Bitter",TRUE
"Moya-ModelMapper",TRUE
"Anthology",TRUE
"Allegro",TRUE
"PDFGenerator",TRUE
"Notifwift",TRUE
"Mixer",TRUE
"Swifixture",TRUE
"HypertextApplicationLanguage",TRUE
"Typesetter",TRUE
"AEAppVersion",TRUE
"CodeQuickKit",TRUE
"Petal",TRUE
"Routing",TRUE
"GlipKit",TRUE
"KeyboardHelper",TRUE
"Deque",TRUE
"URLNavigator",TRUE
"MJCalendar",TRUE
"IBAnimatable",TRUE
"Redbird",TRUE
"Swiftline",TRUE
"Mortar",TRUE
"Inquire",TRUE
"Apic",TRUE
"Appendix",TRUE
"FayeSwift",TRUE
"BNRDeferred",TRUE
"SafeIndex",TRUE
"AdaptiveSpaceItem",TRUE
"Gliphy",TRUE
"VersionTrackerSwift",TRUE
"Jay",TRUE
"MiseEnPlace",TRUE
"Haitch",TRUE
"Kinetic",TRUE
"SwiftOrderedSet",TRUE
"ReusableObjects",TRUE
"FYLogger",TRUE
"Snorlax",TRUE
"LFAlertController",TRUE
"MulticastDelegateSwift",TRUE
"Dip-UI",TRUE
"SkyFloatingLabelTextField",TRUE
"thenPromise",TRUE
"BTree",TRUE
"YBSlantedCollectionViewLayout",TRUE
"Horizon",TRUE
"JNaturalKorean",TRUE
"StocksKit",TRUE
"PMJSON",TRUE
"TeslaSwift",TRUE
"LoadingViews",TRUE
"Position",TRUE
"TryParsec",TRUE
"VolumeBar",TRUE
"RouterX",TRUE
"NSColorComponents",TRUE
"AKTrakt",TRUE
"NADocumentPicker",TRUE
"Reductio",TRUE
"KlarnaCheckout",TRUE
"SteviaLayout",TRUE
"FountainKit",TRUE
"NotificationHandler",TRUE
"Levenshtein",TRUE
"TableViewModel",TRUE
"Equals",TRUE
"WaniKit",TRUE
"AlamofireGenome",TRUE
"PeekPop",TRUE
"Serializable",TRUE
"SwimSwift",TRUE
"CopyableLabel",TRUE
"Geode",TRUE
"TIFeedParser",TRUE
"GPXKit",TRUE
"BrickRequest",TRUE
"JTAppleCalendar",TRUE
"HandySwift",TRUE
"Symday",TRUE
"Ogra",TRUE
"LoadableViews",TRUE
"AlamofireNetworkActivityIndicator",TRUE
"NetworkKit",TRUE
"SBCommons",TRUE
"DualSlideMenu",TRUE
"Restofire",TRUE
"FittableFontLabel",TRUE
"C7",TRUE
"LoginKit",TRUE
"AirRivet",TRUE
"RichTimer",TRUE
"SwiftPaginator",TRUE
"BidirectionalMap",TRUE
"Retired",TRUE
"Felucia",TRUE
"ColorizeSwift",TRUE
"SwiftyLogger",TRUE
"Wrap",TRUE
"Alembic",TRUE
"FlexibleTableViewController",TRUE
"Cadmium",TRUE
"Swim",TRUE
"AELog",TRUE
"SwiftyImageIO",TRUE
"SwiftyGif",TRUE
"JLAlertView",TRUE
"JLSwiftRouter",TRUE
"Boilerplate",TRUE
"MoyaX",TRUE
"APNSubGroupOperationQueue",TRUE
"LocationPickerViewController",TRUE
"AEConsole",TRUE
"BluemixObjectStore",TRUE
"SwiftyVK",TRUE
"HMAlamofire",TRUE
"RxBluetoothKit",TRUE
"GraphQLicious",TRUE
"PresenterKit",TRUE
"DAHAttributed",TRUE
"SlidableImage",TRUE
"Eventitic",TRUE
"ViewFinder",TRUE
"Codemine",TRUE
"Contentful",TRUE
"ResponsiveKit",TRUE
"ContentfulPersistenceSwift",TRUE
"SimpleAnimation",TRUE
"RealmDefaults",TRUE
"PinkyPromise",TRUE
"GrandSugarDispatch",TRUE
